question_code,answer,CountryCode,SUM(response)
f1_a,No,Austria,1955.0
f1_a,No,Belgium,2141.0
f1_a,No,Bulgaria,709.0
f1_a,No,Croatia,775.0
f1_a,No,Cyprus,174.0
f1_a,No,Czech_Republic,1844.0
f1_a,No,Denmark,1318.0
f1_a,No,Estonia,257.0
f1_a,No,Finland,2306.0
f1_a,No,France,6233.0
f1_a,No,Germany,16054.0
f1_a,No,Greece,2077.0
f1_a,No,Hungary,1641.0
f1_a,No,Ireland,1145.0
f1_a,No,Italy,10814.0
f1_a,No,Latvia,312.0
f1_a,No,Lithuania,510.0
f1_a,No,Luxembourg,245.0
f1_a,No,Malta,258.0
f1_a,No,Netherlands,2574.0
f1_a,No,Poland,1801.0
f1_a,No,Portugal,1651.0
f1_a,No,Romania,797.0
f1_a,No,Slovakia,687.0
f1_a,No,Slovenia,473.0
f1_a,No,Spain,5089.0
f1_a,No,Sweden,1774.0
f1_a,No,United_Kingdom,4659.0
f1_a,Yes,Austria,588.0
f1_a,Yes,Belgium,760.0
f1_a,Yes,Bulgaria,324.0
f1_a,Yes,Croatia,422.0
f1_a,Yes,Cyprus,56.0
f1_a,Yes,Czech_Republic,625.0
f1_a,Yes,Denmark,392.0
f1_a,Yes,Estonia,117.0
f1_a,Yes,Finland,1133.0
f1_a,Yes,France,2142.0
f1_a,Yes,Germany,4217.0
f1_a,Yes,Greece,683.0
f1_a,Yes,Hungary,626.0
f1_a,Yes,Ireland,480.0
f1_a,Yes,Italy,2441.0
f1_a,Yes,Latvia,189.0
f1_a,Yes,Lithuania,311.0
f1_a,Yes,Luxembourg,57.0
f1_a,Yes,Malta,64.0
f1_a,Yes,Netherlands,601.0
f1_a,Yes,Poland,988.0
f1_a,Yes,Portugal,474.0
f1_a,Yes,Romania,463.0
f1_a,Yes,Slovakia,313.0
f1_a,Yes,Slovenia,163.0
f1_a,Yes,Spain,1299.0
f1_a,Yes,Sweden,690.0
f1_a,Yes,United_Kingdom,2099.0
f1_b,No,Austria,1262.0
f1_b,No,Belgium,1607.0
f1_b,No,Bulgaria,431.0
f1_b,No,Croatia,479.0
f1_b,No,Cyprus,107.0
f1_b,No,Czech_Republic,1313.0
f1_b,No,Denmark,1009.0
f1_b,No,Estonia,181.0
f1_b,No,Finland,1685.0
f1_b,No,France,5295.0
f1_b,No,Germany,10591.0
f1_b,No,Greece,1321.0
f1_b,No,Hungary,1157.0
f1_b,No,Ireland,721.0
f1_b,No,Italy,8128.0
f1_b,No,Latvia,238.0
f1_b,No,Lithuania,332.0
f1_b,No,Luxembourg,190.0
f1_b,No,Malta,167.0
f1_b,No,Netherlands,1839.0
f1_b,No,Poland,1555.0
f1_b,No,Portugal,1044.0
f1_b,No,Romania,606.0
f1_b,No,Slovakia,462.0
f1_b,No,Slovenia,320.0
f1_b,No,Spain,3947.0
f1_b,No,Sweden,1216.0
f1_b,No,United_Kingdom,3028.0
f1_b,Yes,Austria,1281.0
f1_b,Yes,Belgium,1294.0
f1_b,Yes,Bulgaria,602.0
f1_b,Yes,Croatia,718.0
f1_b,Yes,Cyprus,123.0
f1_b,Yes,Czech_Republic,1156.0
f1_b,Yes,Denmark,701.0
f1_b,Yes,Estonia,193.0
f1_b,Yes,Finland,1754.0
f1_b,Yes,France,3080.0
f1_b,Yes,Germany,9680.0
f1_b,Yes,Greece,1439.0
f1_b,Yes,Hungary,1110.0
f1_b,Yes,Ireland,904.0
f1_b,Yes,Italy,5127.0
f1_b,Yes,Latvia,263.0
f1_b,Yes,Lithuania,489.0
f1_b,Yes,Luxembourg,112.0
f1_b,Yes,Malta,155.0
f1_b,Yes,Netherlands,1336.0
f1_b,Yes,Poland,1236.0
f1_b,Yes,Portugal,1081.0
f1_b,Yes,Romania,654.0
f1_b,Yes,Slovakia,538.0
f1_b,Yes,Slovenia,316.0
f1_b,Yes,Spain,2441.0
f1_b,Yes,Sweden,1248.0
f1_b,Yes,United_Kingdom,3731.0
