,CountryCode,question_code,question_label,answer,SUM(response),percent_all
560,Austria,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very widespread,49.0,0.05
561,Austria,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly widespread,262.0,0.28
562,Austria,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly rare,1253.0,1.35
563,Austria,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very rare,957.0,1.03
564,Austria,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Don`t know,30.0,0.03
565,Belgium,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very widespread,112.0,0.12
566,Belgium,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly widespread,619.0,0.67
567,Belgium,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly rare,1459.0,1.57
568,Belgium,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very rare,675.0,0.73
569,Belgium,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Don`t know,43.0,0.05
570,Bulgaria,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very widespread,15.0,0.02
571,Bulgaria,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly widespread,71.0,0.08
572,Bulgaria,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly rare,222.0,0.24
573,Bulgaria,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very rare,708.0,0.76
574,Bulgaria,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Don`t know,9.0,0.01
575,Cyprus,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very widespread,7.0,0.01
576,Cyprus,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly widespread,3.0,0.0
577,Cyprus,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly rare,14.0,0.02
578,Cyprus,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very rare,202.0,0.22
579,Cyprus,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Don`t know,4.0,0.0
580,Czech_Republic,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very widespread,53.0,0.06
581,Czech_Republic,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly widespread,351.0,0.38
582,Czech_Republic,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly rare,1025.0,1.1
583,Czech_Republic,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very rare,1016.0,1.09
584,Czech_Republic,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Don`t know,11.0,0.01
585,Germany,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very widespread,682.0,0.73
586,Germany,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly widespread,3929.0,4.22
587,Germany,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly rare,10723.0,11.52
588,Germany,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very rare,4629.0,4.97
589,Germany,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Don`t know,274.0,0.29
590,Denmark,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very widespread,70.0,0.08
591,Denmark,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly widespread,391.0,0.42
592,Denmark,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly rare,844.0,0.91
593,Denmark,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very rare,358.0,0.38
594,Denmark,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Don`t know,45.0,0.05
595,Estonia,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very widespread,7.0,0.01
596,Estonia,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly widespread,14.0,0.02
597,Estonia,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly rare,115.0,0.12
598,Estonia,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very rare,233.0,0.25
599,Estonia,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Don`t know,6.0,0.01
600,Greece,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very widespread,12.0,0.01
601,Greece,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly widespread,109.0,0.12
602,Greece,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly rare,773.0,0.83
603,Greece,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very rare,1844.0,1.98
604,Greece,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Don`t know,19.0,0.02
605,Spain,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very widespread,545.0,0.59
606,Spain,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly widespread,2242.0,2.41
607,Spain,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly rare,2754.0,2.96
608,Spain,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very rare,784.0,0.84
609,Spain,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Don`t know,64.0,0.07
610,Finland,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very widespread,114.0,0.12
611,Finland,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly widespread,756.0,0.81
612,Finland,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly rare,1698.0,1.82
613,Finland,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very rare,823.0,0.88
614,Finland,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Don`t know,63.0,0.07
615,France,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very widespread,119.0,0.13
616,France,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly widespread,1000.0,1.07
617,France,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly rare,4350.0,4.67
618,France,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very rare,2829.0,3.04
619,France,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Don`t know,72.0,0.08
620,Croatia,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very widespread,19.0,0.02
621,Croatia,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly widespread,19.0,0.02
622,Croatia,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly rare,185.0,0.2
623,Croatia,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very rare,977.0,1.05
624,Croatia,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Don`t know,5.0,0.01
625,Hungary,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very widespread,7.0,0.01
626,Hungary,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly widespread,30.0,0.03
627,Hungary,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly rare,425.0,0.46
628,Hungary,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very rare,1782.0,1.91
629,Hungary,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Don`t know,7.0,0.01
630,Ireland,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very widespread,22.0,0.02
631,Ireland,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly widespread,127.0,0.14
632,Ireland,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly rare,716.0,0.77
633,Ireland,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very rare,741.0,0.8
634,Ireland,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Don`t know,17.0,0.02
635,Italy,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very widespread,149.0,0.16
636,Italy,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly widespread,607.0,0.65
637,Italy,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly rare,5791.0,6.22
638,Italy,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very rare,6748.0,7.25
639,Italy,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Don`t know,31.0,0.03
640,Lithuania,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very widespread,4.0,0.0
641,Lithuania,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly widespread,18.0,0.02
642,Lithuania,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly rare,134.0,0.14
643,Lithuania,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very rare,655.0,0.7
644,Lithuania,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Don`t know,12.0,0.01
645,Luxembourg,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very widespread,5.0,0.01
646,Luxembourg,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly widespread,26.0,0.03
647,Luxembourg,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly rare,129.0,0.14
648,Luxembourg,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very rare,141.0,0.15
649,Luxembourg,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Don`t know,2.0,0.0
650,Latvia,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very widespread,7.0,0.01
651,Latvia,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly widespread,18.0,0.02
652,Latvia,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly rare,116.0,0.12
653,Latvia,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very rare,351.0,0.38
654,Latvia,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Don`t know,9.0,0.01
655,Malta,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very widespread,5.0,0.01
656,Malta,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly widespread,15.0,0.02
657,Malta,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly rare,97.0,0.1
658,Malta,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very rare,205.0,0.22
659,Malta,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Don`t know,0.0,0.0
660,Netherlands,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very widespread,148.0,0.16
661,Netherlands,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly widespread,862.0,0.93
662,Netherlands,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly rare,1600.0,1.72
663,Netherlands,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very rare,513.0,0.55
664,Netherlands,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Don`t know,52.0,0.06
665,Poland,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very widespread,28.0,0.03
666,Poland,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly widespread,54.0,0.06
667,Poland,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly rare,522.0,0.56
668,Poland,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very rare,2165.0,2.33
669,Poland,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Don`t know,23.0,0.02
670,Portugal,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very widespread,43.0,0.05
671,Portugal,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly widespread,195.0,0.21
672,Portugal,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly rare,1045.0,1.12
673,Portugal,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very rare,822.0,0.88
674,Portugal,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Don`t know,6.0,0.01
675,Romania,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very widespread,29.0,0.03
676,Romania,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly widespread,25.0,0.03
677,Romania,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly rare,185.0,0.2
678,Romania,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very rare,981.0,1.05
679,Romania,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Don`t know,45.0,0.05
680,Sweden,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very widespread,105.0,0.11
681,Sweden,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly widespread,561.0,0.6
682,Sweden,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly rare,1128.0,1.21
683,Sweden,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very rare,592.0,0.64
684,Sweden,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Don`t know,61.0,0.07
685,Slovenia,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very widespread,5.0,0.01
686,Slovenia,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly widespread,15.0,0.02
687,Slovenia,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly rare,179.0,0.19
688,Slovenia,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very rare,434.0,0.47
689,Slovenia,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Don`t know,5.0,0.01
690,Slovakia,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very widespread,16.0,0.02
691,Slovakia,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly widespread,19.0,0.02
692,Slovakia,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly rare,203.0,0.22
693,Slovakia,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very rare,754.0,0.81
694,Slovakia,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Don`t know,13.0,0.01
695,United_Kingdom,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very widespread,329.0,0.35
696,United_Kingdom,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly widespread,1320.0,1.42
697,United_Kingdom,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Fairly rare,3149.0,3.38
698,United_Kingdom,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Very rare,1880.0,2.02
699,United_Kingdom,b1_e,"In your opinion, how widespread is same-sex partners holding hands in public in the country where you live?",Don`t know,90.0,0.1
700,Austria,b1_f,"In your opinion, how widespread is heterosexual partners holding hands in public in the country where you live?",Very widespread,1687.0,1.81
701,Austria,b1_f,"In your opinion, how widespread is heterosexual partners holding hands in public in the country where you live?",Fairly widespread,629.0,0.68
702,Austria,b1_f,"In your opinion, how widespread is heterosexual partners holding hands in public in the country where you live?",Fairly rare,121.0,0.13
703,Austria,b1_f,"In your opinion, how widespread is heterosexual partners holding hands in public in the country where you live?",Very rare,93.0,0.1
704,Austria,b1_f,"In your opinion, how widespread is heterosexual partners holding hands in public in the country where you live?",Don`t know,27.0,0.03
705,Belgium,b1_f,"In your opinion, how widespread is heterosexual partners holding hands in public in the country where you live?",Very widespread,1940.0,2.08
706,Belgium,b1_f,"In your opinion, how widespread is heterosexual partners holding hands in public in the country where you live?",Fairly widespread,750.0,0.81
707,Belgium,b1_f,"In your opinion, how widespread is heterosexual partners holding hands in public in the country where you live?",Fairly rare,110.0,0.12
708,Belgium,b1_f,"In your opinion, how widespread is heterosexual partners holding hands in public in the country where you live?",Very rare,82.0,0.09
709,Belgium,b1_f,"In your opinion, how widespread is heterosexual partners holding hands in public in the country where you live?",Don`t know,34.0,0.04
710,Bulgaria,b1_f,"In your opinion, how widespread is heterosexual partners holding hands in public in the country where you live?",Very widespread,882.0,0.95
711,Bulgaria,b1_f,"In your opinion, how widespread is heterosexual partners holding hands in public in the country where you live?",Fairly widespread,93.0,0.1
712,Bulgaria,b1_f,"In your opinion, how widespread is heterosexual partners holding hands in public in the country where you live?",Fairly rare,15.0,0.02
713,Bulgaria,b1_f,"In your opinion, how widespread is heterosexual partners holding hands in public in the country where you live?",Very rare,36.0,0.04
714,Bulgaria,b1_f,"In your opinion, how widespread is heterosexual partners holding hands in public in the country where you live?",Don`t know,2.0,0.0
715,Cyprus,b1_f,"In your opinion, how widespread is heterosexual partners holding hands in public in the country where you live?",Very widespread,160.0,0.17
716,Cyprus,b1_f,"In your opinion, how widespread is heterosexual partners holding hands in public in the country where you live?",Fairly widespread,34.0,0.04
717,Cyprus,b1_f,"In your opinion, how widespread is heterosexual partners holding hands in public in the country where you live?",Fairly rare,15.0,0.02
718,Cyprus,b1_f,"In your opinion, how widespread is heterosexual partners holding hands in public in the country where you live?",Very rare,15.0,0.02
719,Cyprus,b1_f,"In your opinion, how widespread is heterosexual partners holding hands in public in the country where you live?",Don`t know,5.0,0.01
720,Czech_Republic,b1_f,"In your opinion, how widespread is heterosexual partners holding hands in public in the country where you live?",Very widespread,1731.0,1.86
721,Czech_Republic,b1_f,"In your opinion, how widespread is heterosexual partners holding hands in public in the country where you live?",Fairly widespread,537.0,0.58
722,Czech_Republic,b1_f,"In your opinion, how widespread is heterosexual partners holding hands in public in the country where you live?",Fairly rare,91.0,0.1
