,CountryCode,question_code,question_label,answer,SUM(response),percent_all
1260,Austria,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Strongly agree,884.0,0.95
1261,Austria,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Agree,852.0,0.92
1262,Austria,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Disagree,101.0,0.11
1263,Austria,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Strongly disagree,45.0,0.05
1264,Austria,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Current situation is fine,379.0,0.41
1265,Austria,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Don`t know,112.0,0.12
1266,Belgium,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Strongly agree,821.0,0.88
1267,Belgium,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Agree,860.0,0.92
1268,Belgium,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Disagree,111.0,0.12
1269,Belgium,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Strongly disagree,25.0,0.03
1270,Belgium,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Current situation is fine,778.0,0.84
1271,Belgium,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Don`t know,145.0,0.16
1272,Bulgaria,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Strongly agree,473.0,0.51
1273,Bulgaria,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Agree,307.0,0.33
1274,Bulgaria,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Disagree,25.0,0.03
1275,Bulgaria,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Strongly disagree,33.0,0.04
1276,Bulgaria,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Current situation is fine,53.0,0.06
1277,Bulgaria,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Don`t know,41.0,0.04
1278,Cyprus,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Strongly agree,130.0,0.14
1279,Cyprus,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Agree,49.0,0.05
1280,Cyprus,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Disagree,6.0,0.01
1281,Cyprus,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Strongly disagree,1.0,0.0
1282,Cyprus,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Current situation is fine,9.0,0.01
1283,Cyprus,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Don`t know,9.0,0.01
1284,Czech_Republic,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Strongly agree,528.0,0.57
1285,Czech_Republic,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Agree,792.0,0.85
1286,Czech_Republic,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Disagree,172.0,0.18
1287,Czech_Republic,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Strongly disagree,59.0,0.06
1288,Czech_Republic,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Current situation is fine,557.0,0.6
1289,Czech_Republic,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Don`t know,186.0,0.2
1290,Germany,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Strongly agree,5371.0,5.77
1291,Germany,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Agree,7285.0,7.83
1292,Germany,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Disagree,1142.0,1.23
1293,Germany,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Strongly disagree,388.0,0.42
1294,Germany,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Current situation is fine,3685.0,3.96
1295,Germany,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Don`t know,1070.0,1.15
1296,Denmark,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Strongly agree,325.0,0.35
1297,Denmark,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Agree,440.0,0.47
1298,Denmark,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Disagree,89.0,0.1
1299,Denmark,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Strongly disagree,36.0,0.04
1300,Denmark,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Current situation is fine,554.0,0.6
1301,Denmark,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Don`t know,123.0,0.13
1302,Estonia,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Strongly agree,97.0,0.1
1303,Estonia,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Agree,121.0,0.13
1304,Estonia,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Disagree,51.0,0.05
1305,Estonia,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Strongly disagree,11.0,0.01
1306,Estonia,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Current situation is fine,53.0,0.06
1307,Estonia,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Don`t know,20.0,0.02
1308,Greece,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Strongly agree,1404.0,1.51
1309,Greece,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Agree,805.0,0.86
1310,Greece,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Disagree,75.0,0.08
1311,Greece,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Strongly disagree,25.0,0.03
1312,Greece,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Current situation is fine,112.0,0.12
1313,Greece,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Don`t know,64.0,0.07
1314,Spain,b2_a,"What would allow you to be more comfortable living as a lesbian, gay or bisexual person in the country where you live? Anti-discrimination policies referring to sexual orientation at the workplace?",Strongly agree,3176.0,3.41
