,CountryCode,question_code,question_label,answer,SUM(response),percent_all
11323,Austria,f1_a,"In the last 5 years, have you been: physically/sexually attacked or threatened with violence at home or elsewhere (street, on public transport, at your workplace, etc) for any reason?",Yes,588.0,0.63
11324,Austria,f1_a,"In the last 5 years, have you been: physically/sexually attacked or threatened with violence at home or elsewhere (street, on public transport, at your workplace, etc) for any reason?",No,1955.0,2.1
11325,Belgium,f1_a,"In the last 5 years, have you been: physically/sexually attacked or threatened with violence at home or elsewhere (street, on public transport, at your workplace, etc) for any reason?",Yes,760.0,0.82
11326,Belgium,f1_a,"In the last 5 years, have you been: physically/sexually attacked or threatened with violence at home or elsewhere (street, on public transport, at your workplace, etc) for any reason?",No,2141.0,2.3
11327,Bulgaria,f1_a,"In the last 5 years, have you been: physically/sexually attacked or threatened with violence at home or elsewhere (street, on public transport, at your workplace, etc) for any reason?",Yes,324.0,0.35
11328,Bulgaria,f1_a,"In the last 5 years, have you been: physically/sexually attacked or threatened with violence at home or elsewhere (street, on public transport, at your workplace, etc) for any reason?",No,709.0,0.76
11329,Cyprus,f1_a,"In the last 5 years, have you been: physically/sexually attacked or threatened with violence at home or elsewhere (street, on public transport, at your workplace, etc) for any reason?",Yes,56.0,0.06
11330,Cyprus,f1_a,"In the last 5 years, have you been: physically/sexually attacked or threatened with violence at home or elsewhere (street, on public transport, at your workplace, etc) for any reason?",No,174.0,0.19
11331,Czech_Republic,f1_a,"In the last 5 years, have you been: physically/sexually attacked or threatened with violence at home or elsewhere (street, on public transport, at your workplace, etc) for any reason?",Yes,625.0,0.67
11332,Czech_Republic,f1_a,"In the last 5 years, have you been: physically/sexually attacked or threatened with violence at home or elsewhere (street, on public transport, at your workplace, etc) for any reason?",No,1844.0,1.98
11333,Germany,f1_a,"In the last 5 years, have you been: physically/sexually attacked or threatened with violence at home or elsewhere (street, on public transport, at your workplace, etc) for any reason?",Yes,4217.0,4.53
11334,Germany,f1_a,"In the last 5 years, have you been: physically/sexually attacked or threatened with violence at home or elsewhere (street, on public transport, at your workplace, etc) for any reason?",No,16054.0,17.25
11335,Denmark,f1_a,"In the last 5 years, have you been: physically/sexually attacked or threatened with violence at home or elsewhere (street, on public transport, at your workplace, etc) for any reason?",Yes,392.0,0.42
11336,Denmark,f1_a,"In the last 5 years, have you been: physically/sexually attacked or threatened with violence at home or elsewhere (street, on public transport, at your workplace, etc) for any reason?",No,1318.0,1.42
11337,Estonia,f1_a,"In the last 5 years, have you been: physically/sexually attacked or threatened with violence at home or elsewhere (street, on public transport, at your workplace, etc) for any reason?",Yes,117.0,0.13
11338,Estonia,f1_a,"In the last 5 years, have you been: physically/sexually attacked or threatened with violence at home or elsewhere (street, on public transport, at your workplace, etc) for any reason?",No,257.0,0.28
11339,Greece,f1_a,"In the last 5 years, have you been: physically/sexually attacked or threatened with violence at home or elsewhere (street, on public transport, at your workplace, etc) for any reason?",Yes,683.0,0.73
