answer,CountryCode,SUM(response)
No,Austria,3217.0
No,Belgium,3748.0
No,Bulgaria,1140.0
No,Croatia,1254.0
No,Cyprus,281.0
No,Czech_Republic,3157.0
No,Denmark,2327.0
No,Estonia,438.0
No,Finland,3991.0
No,France,11528.0
No,Germany,26645.0
No,Greece,3398.0
No,Hungary,2798.0
No,Ireland,1866.0
No,Italy,18942.0
No,Latvia,550.0
No,Lithuania,842.0
No,Luxembourg,435.0
No,Malta,425.0
No,Netherlands,4413.0
No,Poland,3356.0
No,Portugal,2695.0
No,Romania,1403.0
No,Slovakia,1149.0
No,Slovenia,793.0
No,Spain,9036.0
No,Sweden,2990.0
No,United_Kingdom,7687.0
Yes,Austria,1869.0
Yes,Belgium,2054.0
Yes,Bulgaria,926.0
Yes,Croatia,1140.0
Yes,Cyprus,179.0
Yes,Czech_Republic,1781.0
Yes,Denmark,1093.0
Yes,Estonia,310.0
Yes,Finland,2887.0
Yes,France,5222.0
Yes,Germany,13897.0
Yes,Greece,2122.0
Yes,Hungary,1736.0
Yes,Ireland,1384.0
Yes,Italy,7568.0
Yes,Latvia,452.0
Yes,Lithuania,800.0
Yes,Luxembourg,169.0
Yes,Malta,219.0
Yes,Netherlands,1937.0
Yes,Poland,2224.0
Yes,Portugal,1555.0
Yes,Romania,1117.0
Yes,Slovakia,851.0
Yes,Slovenia,479.0
Yes,Spain,3740.0
Yes,Sweden,1938.0
Yes,United_Kingdom,5830.0
