,SUM(response),SUM(response),SUM(response),SUM(response),SUM(response)
answer,A few,All,Don`t know,Most,None
CountryCode,,,,,
Austria,2398.0,3125.0,440.0,2370.0,1841.0
Belgium,2110.0,4716.0,434.0,2711.0,1603.0
Bulgaria,1240.0,481.0,334.0,713.0,1369.0
Croatia,1428.0,558.0,243.0,857.0,1707.0
Cyprus,272.0,92.0,42.0,144.0,267.0
Czech_Republic,2668.0,2363.0,469.0,2414.0,1969.0
Denmark,967.0,3114.0,265.0,1545.0,940.0
Estonia,393.0,188.0,94.0,348.0,377.0
Finland,3053.0,3464.0,1022.0,3110.0,3160.0
France,7535.0,10766.0,1566.0,7471.0,6260.0
Germany,17624.0,28142.0,2868.0,18537.0,13940.0
Greece,3463.0,1288.0,544.0,1736.0,3993.0
Hungary,2818.0,1347.0,411.0,1645.0,2856.0
Ireland,1329.0,2372.0,253.0,1402.0,1136.0
Italy,13723.0,11030.0,2642.0,12935.0,12673.0
Latvia,661.0,244.0,131.0,360.0,611.0
Lithuania,1065.0,302.0,197.0,534.0,1186.0
Luxembourg,279.0,406.0,48.0,271.0,208.0
Malta,326.0,361.0,47.0,311.0,245.0
Netherlands,1686.0,6956.0,414.0,2416.0,1255.0
Poland,3563.0,1488.0,722.0,1983.0,3389.0
Portugal,2675.0,1259.0,348.0,1970.0,2232.0
Romania,1557.0,370.0,276.0,582.0,2240.0
Slovakia,1338.0,550.0,201.0,808.0,1114.0
Slovenia,720.0,484.0,114.0,531.0,578.0
Spain,6455.0,7667.0,1149.0,5808.0,4535.0
Sweden,1838.0,3214.0,523.0,2187.0,2098.0
United_Kingdom,5480.0,9484.0,1122.0,6534.0,4390.0
